"10x fund","10X Fund"
"university of wisconsin-la crosse","University Of Wisconsin-la Crosse"
"university of wisconsin-oshkosh","University Of Wisconsin-oshkosh"
"university of wisconsin-parkside","University Of Wisconsin-parkside"
"university of wisconsin-river falls","University Of Wisconsin-river Falls"
"university of wisconsin-stevens point","University Of Wisconsin-stevens Point"
"university of wisconsin-stout","University Of Wisconsin-stout"
"university of wisconsin-superior","University Of Wisconsin-superior"
"university of wisconsin-whitewater","University Of Wisconsin-whitewater"
"university of witwatersrand","University Of Witwatersrand"
"university of wollongong","University Of Wollongong"
"university of york","University Of York"
"university of zambia","University Of Zambia"
"university of zimbabwe","University Of Zimbabwe"
"university of zurich","University Of Zurich"
"univet","Univet S.r.l."
"unohealthcare","Unohealthcare"
"unomedical","Unomedical A/s"
"update pharma","Update Pharma"
"upo s a l","Upo S.a.l."
"uppsala university","Uppsala University"
"upstream peripheral technologies","Upstream Peripheral Technologies"
"uptake medical corporation","Uptake Medical Corporation"
"uquifa","Uquifa Sa"
"urgentrx","Urgentrx"
"uri-dent","Uri-dent, Ltd."
"urocor labs","Urocor Labs"
"urologix","Urologix, Inc."
"uromed corporation","Uromed Corporation"
"uromedica","Uromedica, Inc."
"uropharm","Uropharm Ag"
"urovalve","Urovalve, Inc."
"ursapharm arzneimittel","Ursapharm Arzneimittel Gmbh"
"us biomaterials corporation","Us Biomaterials Corporation"
"us bioservices","Us Bioservices"
"us med corp","Us Med Corp."
"us pathology labs","Us Pathology Labs, Inc."
"us pharmaceutical corporation","Us Pharmaceutical Corporation"
"us spinal technologies","Us Spinal Technologies, Llc."
"us vitamin (india)","Us Vitamin (india) Ltd"
"us worldmeds","Us Worldmeds, Llc."
"uscom","Uscom Limited"
"usgi medical","Usgi Medical, Inc."
"utah medical products","Utah Medical Products, Inc."
"uteron pharma","Uteron Pharma"
"v&m industries","Vm Industries, Inc."
"v i pharma international","V.i. Pharma International S.a."
"vaccibody","Vaccibody"
"vacciguard","Vacciguard"
"vaishali pharma pvt","Vaishali Pharma Pvt. Ltd."
"vakzine project manager","Vakzine Projekt Management Gmbh"
"vale pharmaceuticals","Vale Pharmaceuticals Limited"
"valencia community college","Valencia Community College"
"valens pharma","Valens Pharma Ltd."
"valensa international","Valensa International"
"valenta pharmaceuticals","Valenta Pharmaceuticals"
"valeo pharm","Valeo Pharm Inc."
"valerion therapeutics","Valerion Therapeutics, Llc"
"valetudo","Valetudo Srl"
"valneva","Valneva"
"valor biotherapeutics","Valor Biotherapeutics"
"valvexchange","Valvexchange, Inc."
"vanjan","Vanjan, Inc"
"vanson-halosource","Vanson-halosource, Inc."
"vante","Vante (fka Sebra)"
"vantia","Vantia Ltd"
"vapotherm","Vapotherm, Inc."
"varian medical systems","Varian Medical Systems, Inc."
"varleigh immuno-pharmaceuticals","Varleigh Immuno-pharmaceuticals"
"varuma","Varuma Ag"
"vascon","Vascon Llc"
"vascor","Vascor, Inc."
"vascular control systems","Vascular Control Systems, Inc."
"vascular magnetics","Vascular Magnetics, Inc."
"vascular solutions","Vascular Solutions, Inc."
"vasomedical","Vasomedical, Inc."
"vasonova","Vasonova, Inc."
"vasopharm","Vasopharm Gmbh"
"vasorum","Vasorum"
"vastrata","Vastrata Limited"
"vasudha pharma chem","Vasudha Pharma Chem Limited"
"vaxeal holding","Vaxeal Holding Sa"
"vaxent","Vaxent"
"vaxiion therapeutics","Vaxiion Therapeutics Inc"
"vaximm holding","Vaximm Holding Ag"
"vaxxas","Vaxxas"
"vaya pharma","Vaya Pharma, Inc."
"vbi vaccines","Vbi Vaccines"
"vcn biosciences s l","Vcn Biosciences S.l."
"vddi pharmaceuticals","Vddi Pharmaceuticals"
"vectura group","Vectura Group Plc"
"vedantra pharmaceuticals","Vedantra Pharmaceuticals, Inc."
"vegenics (circadian technologies limited)","Vegenics (circadian Technologies Limited)"
"velocimed","Velocimed, Inc."
"velocity medical solutions","Velocity Medical Solutions, Llc"
"velocity pharmaceutical development","Velocity Pharmaceutical Development"
"venatorx","Venatorx"
"venaxis","Venaxis"
"venetec international","Venetec International, Inc."
"venipharm","Venipharm"
"veniti","Veniti, Inc."
"venta medical","Venta Medical"
"ventana medical systems","Ventana Medical Systems, Inc."
"venter pharma sl","Venter Pharma"
"ventracor","Ventracor Limited"
"ventrinova","Ventrinova"
"ventrix","Ventrix"
"ventus medical","Ventus Medical, Inc."
"venus remedies","Venus Remedies, Ltd."
"vera pharma","Vera Pharma"
"veracyte","Veracyte, Inc."
"veralight","Veralight, Inc."
"veran medical technologies","Veran Medical Technologies"
"verathon","Verathon, Inc."
"verdezyne","Verdezyne, Inc."
"verenium corporation","Verenium Corporation"
"verilogue","Verilogue, Llc"
"verio therapeutics","Verio Therapeutics Inc."
"verisante technology","Verisante Technology, Inc."
"verisfield (uk)","Verisfield (uk) Ltd"
"veritas corporation","Veritas Corporation"
"verla pharma","Verla Pharma"
"vermed","Vermed, Inc."
"vermillion","Vermillion, Inc."
"verna group holdings","Verna Group Holdings, Ltd."
"vernalis group","Vernalis Group Plc"
"vernon-carus","Vernon-carus Limited"
"veron pharma","Veron Pharma Gmbh"
"versamed","Versamed, Inc."
"versapharm incorporated","Versapharm Incorporated"
"versartis","Versartis, Inc."
"vertiflex","Vertiflex, Inc."
"vertos medical","Vertos Medical, Inc."
"veryan medical","Veryan Medical Ltd"
"vesale pharma","Vesale Pharma"
"vestan","Vestan, Inc."
"vetech laboratories","Vetech Laboratories Inc"
"vexim sas","Vexim Sas"
"v-gene","V-gene"
"vgx international","Vgx International Inc"
"vgxi","Vgxi, Inc."
"vhb life sciences","Vhb Life Sciences, Inc."
"via surgical","Via Surgical"
"viamune","Viamune"
"vianex","Vianex Sa"
"vibrynt","Vibrynt, Inc."
"vical incorporated","Vical Incorporated"
"vicam lp","Vicam, Lp"
"vichem chemie research","Vichem Chemie Research Ltd."
"vicor technologies","Vicor Technologies, Inc."
"victhom human bionics neurobionix & biotronix divisions","Victhom Human Bionics, Neurobionix & Biotronix Divisions"
"victoria university of wellington","Victoria University Of Wellington"
"victus","Victus, Inc."
"vida labs","Vida Labs Limited"
"vidara therapeutics","Vidara Therapeutics"
"vidatak","Vidatak, Llc"
"vident","Vident"
"videregen","Videregen Limited"
"viewray incorporated","Viewray Incorporated"
"vifor pharma","Vifor Pharma Ltd."
"viking systems","Viking Systems, Inc."
"vilco","Vilco S.a"
"villanova university","Villanova University"
"vilnius pharmaceutical factory","Vilnius Pharmaceutical Factory Ltd"
"vimecon","Vimecon"
"vindonhealthcare","Vindonhealthcare"
"viogen pharmaceuticals","Viogen Pharmaceuticals"
"vipharm","Vipharm"
"vips biomedical services","Vips Biomedical Services"
"viral genetics","Vg Life Sciences, Inc. (viral Genetics, Inc.)"
"viralytics","Viralytics"
"virax holdings","Virax Holdings Limited"
"virbac corporation","Virbac Corporation"
"virchow group","Virchow Group"
"viromed co","Viromed Co., Ltd."
"vironovative bv","Vironovative Bv"
"viropharma incorporated","Viropharma Incorporated"
"virosome biologicals b v","Virosome Biologicals, B.v."
"virotech international","Virotech International, Inc."
"viroxis corporation","Viroxis Corporation"
"virrx","Virrx Inc"
"virttu biologics","Virttu Biologics"
"virtual radiologic corporation","Virtual Radiologic Corporation"
"visen medical","Visen Medical, Inc."
"visijet","Visijet, Inc."
"visiomed","Visiomed Ag"
"vision group holdings","Vision Group Holdings Limited"
"visionary pharmaceuticals","Visionary Pharmaceuticals, Inc."
"visioncare ophthalmic technologies","Visioncare Ophthalmic Technologies, Inc."
"visiongate","Visiongate, Inc."
"vision-sciences","Vision-sciences, Inc."
"vista scientific","Vista Scientific, Llc"
"vistech consultants","Vistech Consultants, Inc."
"visterra","Visterra, Inc."
"visualase","Visualase, Inc."
"visualsonics","Visualsonics"
"visufarma spa","Visufarma Spa"
"visx incorporated","Visx, Incorporated"
"vita 34 international","Vita 34 International Ag"
"vita genomics","Vita Genomics"
"vita life sciences","Vita Life Sciences Limited"
"vitabiotics","Vitabiotics Ltd"
"vitaflo international","Vitaflo International Limited"
"vital access corporation","Vital Access Corporation"
"vital scientific n v","Vital Scientific N.v."
"vital signs","Vital Signs, Inc."
"vitaline corporation","Vitaline Corporation"
"vitalitec international","Vitalitec International S.a."
"vital-net","Vital-net Inc"
"vitamed pharmaceutical industries","Vitamed Pharmaceutical Industries Ltd."
"vitamfero sas","Vitamfero Sas"
"vitapharm technology development","Vitapharm Technology Development"
"vitas pharma pvt","Vitas Pharma Pvt Ltd"
"vitatene s a u","Vitatene S.a.u"
"vitatex","Vitatex"
"vitera healthcare solutions","Vitera Healthcare Solutions, Llc."
"viterion telehealthcare","Viterion Telehealthcare Llc"
"vitruvian biomedical","Vitruvian Biomedical, Inc."
"viva pharmaceutical","Viva Pharmaceutical"
"vivacell biotechnology","Vivacell Biotechnology"
"vivacta","Vivacta"
"vivakor","Vivakor, Inc."
"vivamab","Vivamab"
"vivant medical","Vivant Medical, Inc."
"vivante gmp solutions","Vivante Gmp Solutions, Inc."
"viventia biotechnologies","Viventia Biotechnologies, Inc"
"vivex biomedical","Vivex Biomedical"
"vivia biotech","Vivia Biotech"
"vivimed labs","Vivimed Labs Ltd."
"vivo biosciences","Vivo Biosciences Inc"
"vivolux","Vivolux"
"vivus","Vivus, Inc."
"viztek","Viztek"
"v-labs","V-labs, Inc."
"vlp biotech","Vlp Biotech"
"vm global manufacturers group","Vm Global Manufacturers Group, Inc."
"vmax vision","Vmax Vision"
"vms rehab systems","Vms Rehab Systems, Inc."
"vnus medical technologies","Vnus Medical Technologies, Inc."
"volcano corporation","Volcano Corporation"
"volitionrx","Volitionrx"
"volkspharma","Volkspharma Gmbh"
"volumetrics medical imaging","Volumetrics Medical Imaging, Inc"
"voluntis","Voluntis"
"volusense as","Volusense As"
"vortex medical","Vortex Medical, Inc."
"voyage medical","Voyage Medical Inc."
"voyager therapeutics","Voyager Therapeutics"
"voyant health","Voyant Health"
"vp - finance avp-human resourcescontroller","Swarthmore College"
"vrije universiteit","Vrije Universiteit"
"vucomp","Vucomp, Inc."
"vwr scientific products corporation","Vwr Scientific Products Corporation"
"vybion","Vybion"
"vyome biosciences","Vyome Biosciences"
"vytacera pharma","Vytacera Pharma, Inc."
"vyteris","Vyteris, Inc."
"w f young","W.f. Young, Inc."
"w l gore & associates","W.l. Gore & Associates, Inc."
"w o m world of medicine","W.o.m. World Of Medicine Ag"
"w spitzner arzneimittel","W.spitzner Arzneimittel"
"wada calcium pharmaceutical co","Wada Calcium Pharmaceutical Co Ltd"
"wageningen university","Wageningen University"
"wai yuen tong medicine holdings","Wai Yuen Tong Medicine Holdings Limited"
"wakamoto pharmaceutical co","Wakamoto Pharmaceutical Co., Ltd."
"wakunaga pharmaceutical co","Wakunaga Pharmaceutical Co., Ltd."
"walla walla college","Walla Walla College"
"walter ritter pharmaceutica","Walter Ritter Pharmaceutica"
"walther schoenenberger pfla","Walther Schoenenberger Pfla."
"walvax biotechechnology co","Walvax Biotechechnology Co Ltd"
"wang on group","Wang On Group Ltd"
"wangson health products group","Wangson Health Products Group Inc."
"warp drive bio","Warp Drive Bio"
"warrick pharmaceuticals (schering-plough)","Warrick Pharmaceuticals (schering-plough)"
"warwick effect polymers","Warwick Effect Polymers"
"washington & jefferson college","Washington & Jefferson College"
"wassenburg medical devices bv","Wassenburg Medical Devices Bv"
"watermark medical","Watermark Medical, Inc."
"waterstone pharmaceuticals","Waterstone Pharmaceuticals"
"wave 80 biosciences","Wave 80 Biosciences, Inc."
"wavelight aesthetic","Wavelight Aesthetic Gmbh"
"wavemark","Wavemark, Inc."
"wavetec vision","Wavetec Vision"
"wavetec vision systems","Wavetec Vision Systems, Inc."
"weifang renkang pharmaceutical co","Weifang Renkang Pharmaceutical Co., Ltd."
"weifang zhongshi pharmaceutical co","Weifang Zhongshi Pharmaceutical Co., Ltd."
"weihai dongbao pharmaceutical co","Weihai Dongbao Pharmaceutical Co., Ltd."
"weihai kashine pharmaceutical co","Weihai Kashine Pharmaceutical Co., Ltd."
"weikang bio-technology group","Weikang Bio-technology Group., Inc."
"weimer pharma","Weimer Pharma Gmbh"
"weinmann gmbh chirurgische instrumente","Weinmann Medical Technology"
"welding gmbh & co kg","Welding Gmbh & Co. Kg"
"wellpharma","Wellpharma"
"wellspring pharmaceutical corporation","Wellspring Pharmaceutical Corporation"
"wellstat therapeutics corp","Wellstat Therapeutics Corp."
"westcliff medical laboratories","Westcliff Medical Laboratories, Inc."
"westco medical","Westco Medical Ltd"
"wested","Wested"
"western state college","Western State College"
"western systems research","Western Systems Research, Inc."
"westhouse medical services","Westhouse Medical Services Plc."
"westminster college (fulton mo)","Westminster College (fulton, Mo)"
"westminster house","Westminster House"
"westone products","Westone Products Ltd."
"west-ward pharmaceutical corporation","West-ward Pharmaceutical Corporation"
"whanin pharmaceutical co","Whanin Pharmaceutical Co. Ltd"
"wharton biotechnology partners","Wharton Biotechnology Partners"
"whatman","Whatman Plc"
"white heron pharmaceutical sdn","White Heron Pharmaceutical Sdn."
"whitehall-robins international","Whitehall-robins International, Inc."
"whitworth college","Whitworth College"
"wibi+works","Wibi Works"
"wicab","Wicab, Inc."
"wick pharma zweigniederlass","Wick Pharma Zweigniederlass."
"widex","Widex A/s"
"wilex","Wilex Ag"
"wilex biotechnology","Wilex Biotechnology Gmbh"
"wilfrid laurier university","Wilfrid Laurier University"
"wilke resources","Wilke Resources Inc"
"william demant holdings","William Demant Holdings, A/s"
"william ransom & son","William Ransom & Son Plc"
"williams & halls","Williams & Halls"
"williams medical supplies","Williams Medical Supplies"
"willowlaboratories","Willowlaboratories"
"wilsontherapeuticsab","Wilson Therapeutics Ab"
"win international co","Win International Co., Ltd"
"windmill health products","Windmill Health Products"
